Page - https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship

Entrant, Constructor, Chassis, Engine†, Tyre, No., Driver, Rounds, 
West McLaren Mercedes, McLaren-Mercedes, MP4/15, Mercedes FO110J, B, 1, Mika Häkkinen, All, 
2, David Coulthard, All, 
Scuderia Ferrari Marlboro, Ferrari, F1-2000, Ferrari 049, B, 3, Michael Schumacher, All, 
4, Rubens Barrichello, All, 
Benson & Hedges Jordan, Jordan-Mugen-Honda, EJ10EJ10B, Mugen-Honda MF-301 HE, B, 5, Heinz-Harald Frentzen, All, 
6, Jarno Trulli, All, 
Jaguar Racing F1 Team, Jaguar-Cosworth, R1, Cosworth CR-2, B, 7, Eddie Irvine, 1–9, 11–17, 
Luciano Burti, 10, 
8, Johnny Herbert, All, 
BMW WilliamsF1 Team, Williams-BMW, FW22, BMW E41, B, 9, Ralf Schumacher, All, 
10, Jenson Button, All, 
Mild Seven Benetton Playlife, Benetton-Playlife, B200, Playlife FB02, B, 11, Giancarlo Fisichella, All, 
12, Alexander Wurz, All, 
Gauloises Prost Peugeot, Prost-Peugeot, AP03, Peugeot A20, B, 14, Jean Alesi, All, 
15, Nick Heidfeld, All, 
Red Bull Sauber Petronas, Sauber-Petronas, C19, Petronas SPE 04A, B, 16, Pedro Diniz, All, 
17, Mika Salo, All, 
Arrows F1 Team, Arrows-Supertec, A21, Supertec FB02, B, 18, Pedro de la Rosa, All, 
19, Jos Verstappen, All, 
Telefónica Minardi Fondmetal, Minardi-Fondmetal, M02, Fondmetal RV10, B, 20, Marc Gené, All, 
21, Gastón Mazzacane, All, 
Lucky Strike BAR Honda, BAR-Honda, 002, Honda RA000E, B, 22, Jacques Villeneuve, All, 
23, Ricardo Zonta, All, 

Round, Grand Prix, Circuit, Date, 
1, Australian Grand Prix, Albert Park Grand Prix Circuit, Melbourne, 12 March, 
2, Brazilian Grand Prix, Autódromo José Carlos Pace, São Paulo, 26 March, 
3, San Marino Grand Prix, Autodromo Enzo e Dino Ferrari, Imola, 9 April, 
4, British Grand Prix, Silverstone Circuit, Silverstone, 23 April, 
5, Spanish Grand Prix, Circuit de Catalunya, Montmeló, 7 May, 
6, European Grand Prix, Nürburgring, Nürburg, 21 May, 
7, Monaco Grand Prix, Circuit de Monaco, Monaco, 4 June, 
8, Canadian Grand Prix, Circuit Gilles Villeneuve, Montreal, 18 June, 
9, French Grand Prix, Circuit de Nevers Magny-Cours, Magny-Cours, 2 July, 
10, Austrian Grand Prix, A1-Ring, Spielberg, 16 July, 
11, German Grand Prix, Hockenheimring, Hockenheim, 30 July, 
12, Hungarian Grand Prix, Hungaroring, Mogyoród, 13 August, 
13, Belgian Grand Prix, Circuit de Spa-Francorchamps, Stavelot, 27 August, 
14, Italian Grand Prix, Autodromo Nazionale Monza, Monza, 10 September, 
15, United States Grand Prix, Indianapolis Motor Speedway, Speedway, 24 September, 
16, Japanese Grand Prix, Suzuka Circuit, Suzuka, 8 October, 
17, Malaysian Grand Prix, Sepang International Circuit, Sepang, 22 October, 

Round, Grand Prix, Pole Position, Fastest Lap, Winning Driver, Winning Constructor, Report, 
1, Australian Grand Prix, Mika Häkkinen, Rubens Barrichello, Michael Schumacher, Ferrari, Report, 
2, Brazilian Grand Prix, Mika Häkkinen, Michael Schumacher, Michael Schumacher, Ferrari, Report, 
3, San Marino Grand Prix, Mika Häkkinen, Mika Häkkinen, Michael Schumacher, Ferrari, Report, 
4, British Grand Prix, Rubens Barrichello, Mika Häkkinen, David Coulthard, McLaren-Mercedes, Report, 
5, Spanish Grand Prix, Michael Schumacher, Mika Häkkinen, Mika Häkkinen, McLaren-Mercedes, Report, 
6, European Grand Prix, David Coulthard, Michael Schumacher, Michael Schumacher, Ferrari, Report, 
7, Monaco Grand Prix, Michael Schumacher, Mika Häkkinen, David Coulthard, McLaren-Mercedes, Report, 
8, Canadian Grand Prix, Michael Schumacher, Mika Häkkinen, Michael Schumacher, Ferrari, Report, 
9, French Grand Prix, Michael Schumacher, David Coulthard, David Coulthard, McLaren-Mercedes, Report, 
10, Austrian Grand Prix, Mika Häkkinen, David Coulthard, Mika Häkkinen, McLaren-Mercedes, Report, 
11, German Grand Prix, David Coulthard, Rubens Barrichello, Rubens Barrichello, Ferrari, Report, 
12, Hungarian Grand Prix, Michael Schumacher, Mika Häkkinen, Mika Häkkinen, McLaren-Mercedes, Report, 
13, Belgian Grand Prix, Mika Häkkinen, Rubens Barrichello, Mika Häkkinen, McLaren-Mercedes, Report, 
14, Italian Grand Prix, Michael Schumacher, Mika Häkkinen, Michael Schumacher, Ferrari, Report, 
15, United States Grand Prix, Michael Schumacher, David Coulthard, Michael Schumacher, Ferrari, Report, 
16, Japanese Grand Prix, Michael Schumacher, Mika Häkkinen, Michael Schumacher, Ferrari, Report, 
17, Malaysian Grand Prix, Michael Schumacher, Mika Häkkinen, Michael Schumacher, Ferrari, Report, 

Pos, Driver[5], AUS, BRA, SMR, GBR, ESP, EUR, MON, CAN, FRA, AUT, GER, HUN, BEL, ITA, USA, JPN, MAL, Points, 
12, 7, Ret, 9, 9, 10, 12, Ret, 9, Ret, 10, Ret, 11, 13, 5, 10, Ret, 7, 
5, BAR-Honda, 22, 4, Ret, 5, 16, Ret, Ret, 7, 15, 4, 4, 8, 12, 7, Ret, 4, 6, 5, 20, 
23, 6, 9, 12, Ret, 8, Ret, Ret, 8, Ret, Ret, Ret, 14, 12, 6, 6, 9, Ret, 
6, Jordan-Mugen-Honda, 5, Ret, 3, Ret, 17, 6, Ret, 10, Ret, 7, Ret, Ret, 6, 6, Ret, 3, Ret, Ret, 17, 
6, Ret, 4, 15, 6, 12, Ret, Ret, 6, 6, Ret, 9, 7, Ret, Ret, Ret, 13, 12, 
7, Arrows-Supertec, 18, Ret, 8, Ret, Ret, Ret, 6, Ret, Ret, Ret, Ret, 6, 16, 16, Ret, Ret, 12, Ret, 7, 
19, Ret, 7, 14, Ret, Ret, Ret, Ret, 5, Ret, Ret, Ret, 13, 15, 4, Ret, Ret, 10, 
8, Sauber-Petronas, 16, Ret, DNS, 8, 11, Ret, 7, Ret, 10, 11, 9, Ret, Ret, 11, 8, 8, 11, Ret, 6, 
17, DSQ, DNS, 6, 8, 7, Ret, 5, Ret, 10, 6, 5, 10, 9, 7, Ret, 10, 8, 
9, Jaguar-Cosworth, 7, Ret, Ret, 7, 13, 11, Ret, 4, 13, 13, 11, 10, 8, 10, Ret, 7, 8, 6, 4, 
8, Ret, Ret, 10, 12, 13, 11, 9, Ret, Ret, 7, Ret, Ret, 8, Ret, 11, 7, Ret, 
10, Minardi-Fondmetal, 20, 8, Ret, Ret, 14, 14, Ret, Ret, 16, 15, 8, Ret, 15, 14, 9, 12, Ret, Ret, 0, 
21, Ret, 10, 13, 15, 15, 8, Ret, 12, Ret, 12, 11, Ret, 17, 10, Ret, 15, 13, 
11, Prost-Peugeot, 14, Ret, Ret, Ret, 10, Ret, 9, Ret, Ret, 14, Ret, Ret, Ret, Ret, 12, Ret, Ret, 11, 0, 
15, 9, Ret, Ret, Ret, 16, EX, 8, Ret, 12, Ret, Ret, Ret, Ret, Ret, 9, Ret, Ret, 
Pos, Constructor, Carno., AUS, BRA, SMR, GBR, ESP, EUR, MON, CAN, FRA, AUT, GER, HUN, BEL, ITA, USA, JPN, MAL, Points, 
