Page - https://en.wikipedia.org/wiki/1975_Formula_One_season

Entrant, Constructor, Chassis, Engine, Tyre, No, Driver, Rounds, 
Marlboro Team McLaren, McLaren-Ford, M23, Ford Cosworth DFV 3.0 V8, G, 1, Emerson Fittipaldi, All, 
2, Jochen Mass, All, 
Elf Team Tyrrell, Tyrrell-Ford, 007, Ford Cosworth DFV 3.0 V8, G, 3, Jody Scheckter, All, 
4, Patrick Depailler, All, 
15, Jean-Pierre Jabouille, 9, 
Michel Leclère, 14, 
John Player Team Lotus, Lotus-Ford, 72E, Ford Cosworth DFV 3.0 V8, G, 5, Ronnie Peterson, All, 
6, Jacky Ickx, 1–9, 
Jim Crawford, 10, 13, 
John Watson, 11, 
Brian Henton, 12, 14, 
15, 10, 
8, March-Ford, 9, Ret, Ret, 5, Ret, Ret, Ret, 14, 18, 5, 7, 1, Ret, 7, 7.5, 
9, Williams-Ford, NC, 11, NC, 7, DNQ, Ret, 14, 12, 11, Ret, 2, Ret, 14, DNS, 6, 
10, Parnelli-Ford, Ret, 7, 17, Ret, Ret, , 4, , 5, 12, 10, Ret, Ret, Ret, 5, 
11, Hill-Ford, , , , NC, DNQ, Ret, 6, 7, 7, 10, 5, 15, Ret, Ret, 3, 
12, Penske-Ford, 7, Ret, 8, Ret, Ret, 11, 5, 8, Ret, , , , , 9, 2, 
13, Ensign-Ford, , , , , DNQ, WD, WD, 10, 15, DNQ, 6, 12, 12, Ret, 1, 
—, Lola-Ford, 10, 12, 7, , DNQ, , , , , , , , , , 0, 
—, Surtees-Ford, DSQ, 10, Ret, 8, Ret, 10, 16, Ret, 13, 11, , 10, , , 0, 
—, BRM, Ret, Ret, 15, Ret, DNQ, 9, 13, Ret, 17, WD, WD, Ret, Ret, , 0, 
—, Fittipaldi-Ford, Ret, 13, DNQ, Ret, DNQ, 12, 17, 11, Ret, 19, Ret, DNS, 11, 10, 0, 
—, Lyncar-Ford, , , , , , , , , , 17, , , , , 0, 
—, Shadow-Matra, , , , , , , , , , , , Ret, Ret, , 0, 
—, Maki-Ford, , , , , , WD, WD, DNS, , DNQ, DNQ, DNQ, DNQ, , 0, 
Pos, Constructor, ARG, BRA, RSA, ESP‡, MON, BEL, SWE, NED, FRA, GBR, GER, AUT‡, ITA, USA, Pts, 

Race Name, Circuit, Date, Winning driver, Constructor, Report, 
X Race of Champions, Brands Hatch, 16 March, Tom Pryce, Shadow-Cosworth, Report, 
XXVII BRDC International Trophy, Silverstone, 13 April, Niki Lauda, Ferrari, Report, 
XV Swiss Grand Prix, Dijon-Prenois, 24 August, Clay Regazzoni, Ferrari, Report, 

Race Name, Circuit, Date, Winning driver, Constructor, Report, 
Cape South Easter Trophy, Killarney, 8 February, Dave Charlton, McLaren-Cosworth, Report, 
Goldfields 100, Goldfields, 22 March, Ian Scheckter, Tyrrell-Cosworth, Report, 
Natal Mercury 100, Roy Hesketh, 29 March, Ian Scheckter, Tyrrell-Cosworth, Report, 
Brandkop Winter Trophy, Brandkop, 3 May, Ian Scheckter, Tyrrell-Cosworth, Report, 
South African Republic Trophy, Kyalami, 31 May, Ian Scheckter, Tyrrell-Cosworth, Report, 
False Bay 100, Killarney, 5 July, Guy Tunmer, Lotus-Cosworth, Report, 
Rand Winter Trophy, Kyalami, 26 July, Ian Scheckter, Tyrrell-Cosworth, Report, 
Natal Spring Trophy, Roy Hesketh, 1 September, Dave Charlton, McLaren-Cosworth, Report, 
Rand Spring Trophy, Kyalami, 4 October, Ian Scheckter, Tyrrell-Cosworth, Report, 
