Page - https://en.wikipedia.org/wiki/1971_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, South African Grand Prix, Kyalami, 6 March, Jackie Stewart, Mario Andretti, Mario Andretti, Ferrari, F, Report, 
Pos., Manufacturer, RSA, ESP, MON, NED, FRA, GBR, GER, AUT, ITA, CAN, USA, Pts., 

Race Name, Circuit, Date, Winning driver, Constructor, Report, 
XIV Argentine Grand Prix, Buenos Aires, 24 January, Chris Amon, Matra, Report, 
VI Race of Champions, Brands Hatch, 21 March, Clay Regazzoni, Ferrari, Report, 
Questor Grand Prix, Ontario Motor Speedway, 28 March, Mario Andretti, Ferrari, Report, 
XII Spring Trophy, Oulton Park, 9 April, Pedro Rodriguez, BRM, Report, 
XXIII BRDC International Trophy, Silverstone, 8 May, Graham Hill, Brabham-Cosworth, Report, 
VI Rhein-Pokalrennen, Hockenheim, 13 June, Jacky Ickx, Ferrari, Report, 
XVIII International Gold Cup, Oulton Park, 22 August, John Surtees, Surtees-Cosworth, Report, 
I World Championship Victory Race, Brands Hatch, 24 October, Peter Gethin, BRM, Report, 
