Page - https://en.wikipedia.org/wiki/1972_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, Argentine Grand Prix, Buenos Aires, 23 January, Carlos Reutemann, Jackie Stewart, Jackie Stewart, Tyrrell-Ford, G, Report, 
2, South African Grand Prix, Kyalami, 4 March, Jackie Stewart, Mike Hailwood, Denny Hulme, McLaren-Ford, G, Report, 
6, March-Ford, 6, 5, 6, 10, 5, 5, 7, 3, 10, 9, 9, 4, 15, 
7, BRM, 9, 14, Ret, 1, 8, 15, 11, 4, 6, 6, 10, Ret, 14, 
8, Matra, DNS, 15, Ret, 6, 6, 3, 4, 15, 5, Ret, 6, 15, 12, 
9, Brabham-Ford, 7, 6, 7, 9, 13, 8, 8, 6, Ret, 5, 4, 11, 7, 
—, Eifelland-Ford, , 13, Ret, 10, 11, 16, 10, Ret, 15, , , , 0, 
—, Tecno, , , , , Ret, DNS, Ret, Ret, NC, Ret, DNS, Ret, 0, 
—, Politoys-Ford, , , , , , , Ret, , , , , , 0, 
—, Connew-Ford, , , , , , , DNS, , Ret, , , , 0, 
Pos., Manufacturer, ARG, RSA, ESP, MON, BEL, FRA, GBR, GER, AUT, ITA, CAN, USA, Pts., 

Race Name, Circuit, Date, Winning driver, Constructor, Report, 
VII Race of Champions, Brands Hatch, 19 March, Emerson Fittipaldi, Lotus, Report, 
I Brazilian Grand Prix, Interlagos, 30 March, Carlos Reutemann, Brabham-Cosworth, Report, 
XXIV BRDC International Trophy, Silverstone, 23 April, Emerson Fittipaldi, Lotus, Report, 
XIX International Gold Cup, Oulton Park, 29 May, Denny Hulme, McLaren-Cosworth, Report, 
I Italian Republic Grand Prix, Vallelunga, 18 June, Emerson Fittipaldi, Lotus, Report, 
II World Championship Victory Race, Brands Hatch, 22 October, Jean-Pierre Beltoise, BRM, Report, 
